time,distance
1464296265.16,63.68
1464296265.18,63.251
1464296265.19,62.854
1464296265.21,63.177
1464296265.22,63.218
1464296265.24,63.132
1464296265.25,63.987
1464296265.27,63.594
1464296265.28,63.66
1464296265.3,63.647
1464296265.31,63.284
1464296265.33,63.218
1464296265.35,63.746
1464296265.36,63.66
1464296265.38,63.643
1464296265.39,64.175
1464296265.41,63.251
1464296265.42,63.251
1464296265.44,64.11
1464296265.45,64.142
1464296265.47,63.284
1464296265.49,64.093
1464296265.5,63.23
1464296265.52,63.284
1464296265.53,63.214
1464296265.55,64.024
1464296265.56,64.142
1464296265.58,64.04
1464296265.59,63.247
1464296265.61,63.3
1464296265.62,63.263
1464296265.64,63.181
1464296265.65,63.198
1464296265.67,63.337
1464296265.69,63.247
1464296265.7,63.267
1464296265.72,63.611
1464296265.73,63.267
1464296265.75,63.165
1464296265.76,63.251
1464296265.78,63.66
1464296265.79,63.267
1464296265.81,63.198
1464296265.83,63.713
1464296265.84,63.284
1464296265.86,63.247
1464296265.87,63.23
1464296265.89,63.235
1464296265.9,63.214
1464296265.92,63.198
1464296265.93,63.713
1464296265.95,63.267
1464296265.96,63.304
1464296265.98,64.105
1464296265.99,63.214
1464296266.01,62.858
1464296266.03,63.611
1464296266.04,63.3
1464296266.06,63.251
1464296266.07,63.676
1464296266.09,63.3
1464296266.11,63.284
1464296266.12,63.627
1464296266.14,63.66
1464296266.15,63.235
1464296266.17,63.284
1464296266.18,63.247
1464296266.2,63.181
1464296266.21,63.284
1464296266.23,63.713
1464296266.24,63.3
1464296266.26,63.247
1464296266.27,63.181
1464296266.29,63.181
1464296266.31,63.198
1464296266.32,63.235
1464296266.34,64.159
1464296266.35,63.198
1464296266.37,63.267
1464296266.38,63.284
1464296266.4,63.247
1464296266.41,63.218
1464296266.43,63.697
1464296266.45,63.235
1464296266.46,63.247
1464296266.48,63.23
1464296266.49,63.149
1464296266.51,63.267
1464296266.52,63.23
1464296266.54,63.247
1464296266.55,63.32
1464296266.57,64.105
1464296266.58,63.198
1464296266.6,63.218
1464296266.62,63.66
1464296266.63,64.122
1464296266.65,63.235
1464296266.66,63.214
1464296266.68,63.3
1464296266.69,63.251
1464296266.71,63.32
1464296266.73,62.789
1464296266.74,63.284
1464296266.76,63.284
1464296266.77,63.251
1464296266.79,63.235
1464296266.8,63.23
1464296266.82,64.089
1464296266.84,62.0
1464296266.85,63.251
1464296266.87,64.159
1464296266.88,62.372
1464296266.9,64.089
1464296266.92,63.145
1464296266.94,63.627
1464296266.95,64.089
1464296266.97,63.68
1464296266.99,56.803
1464296267.0,64.604
1464296267.02,63.32
1464296267.06,63.3
1464296267.07,63.697
1464296267.09,69.887
1464296267.11,64.155
1464296267.12,64.159
1464296267.14,63.247
1464296267.16,63.697
1464296267.17,64.126
1464296267.19,66.113
1464296267.21,63.504
1464296267.22,64.142
1464296267.24,63.664
1464296267.26,64.105
1464296267.27,63.697
1464296267.29,63.439
1464296267.31,64.195
1464296267.32,63.627
1464296267.34,63.145
1464296267.36,62.924
1464296267.38,63.746
1464296267.39,63.177
1464296267.41,63.594
1464296267.42,63.66
1464296267.44,63.643
1464296267.46,63.214
1464296267.48,63.59
1464296267.49,63.558
1464296267.51,63.729
1464296267.52,63.558
1464296267.54,63.611
1464296267.56,63.251
1464296267.57,63.746
1464296267.59,63.729
1464296267.61,63.316
1464296267.62,63.23
1464296267.64,63.987
1464296267.66,63.284
1464296267.67,63.337
1464296267.69,63.128
1464296267.71,63.251
1464296267.72,63.075
1464296267.74,64.056
1464296267.76,63.349
1464296267.77,62.854
1464296267.79,63.263
1464296267.8,63.251
1464296267.82,63.23
1464296267.83,63.198
1464296267.85,65.447
1464296267.87,63.713
1464296267.88,64.195
1464296267.9,64.073
1464296267.91,64.003
1464296267.93,63.23
1464296267.95,64.159
1464296267.97,63.406
1464296267.98,64.056
1464296268.0,63.214
1464296268.02,63.235
1464296268.04,63.729
1464296268.05,3.995
1464296268.07,63.267
1464296268.08,63.181
1464296268.1,63.3
1464296268.11,63.263
1464296268.13,63.235
1464296268.15,63.214
1464296268.16,62.666
1464296268.18,63.235
1464296268.19,63.267
1464296268.21,63.247
1464296268.22,63.177
1464296268.24,63.165
1464296268.26,63.643
1464296268.27,63.23
1464296268.29,63.235
1464296268.3,63.353
1464296268.32,63.267
1464296268.34,63.66
1464296268.36,42.741
1464296268.37,63.3
1464296268.39,63.267
1464296268.4,63.251
1464296268.42,63.198
1464296268.43,63.284
1464296268.45,63.267
1464296268.46,63.66
1464296268.48,63.627
1464296268.5,63.284
1464296268.51,63.165
1464296268.53,63.161
1464296268.54,63.218
1464296268.56,64.122
1464296268.57,63.198
1464296268.59,63.267
1464296268.61,63.161
1464296268.62,63.214
1464296268.64,64.142
1464296268.66,63.692
1464296268.68,63.337
1464296268.69,63.198
1464296268.71,63.284
1464296268.72,63.284
1464296268.74,63.284
1464296268.76,62.838
1464296268.77,63.713
1464296268.79,62.817
1464296268.8,63.251
1464296268.82,63.247
1464296268.83,63.198
1464296268.85,63.198
1464296268.87,63.198
1464296268.88,63.267
1464296268.9,62.822
1464296268.91,63.177
1464296268.93,63.284
1464296268.95,63.235
1464296268.96,70.586
1464296268.98,63.66
1464296268.99,63.66
1464296269.01,63.316
1464296269.03,63.267
1464296269.04,62.822
1464296269.06,46.613
1464296269.08,63.3
1464296269.09,64.138
1464296269.11,63.218
1464296269.12,62.805
1464296269.14,62.854
1464296269.15,63.284
1464296269.17,63.251
1464296269.19,63.304
1464296269.2,66.747
1464296269.22,63.214
1464296269.23,62.719
1464296269.25,63.267
1464296269.27,56.766
1464296269.28,63.198
1464296269.3,72.218
1464296269.32,63.627
1464296269.33,63.643
1464296269.35,63.247
1464296269.37,65.823
1464296269.38,63.284
1464296269.4,64.073
1464296269.41,63.198
1464296269.43,63.214
1464296269.44,63.145
1464296269.46,63.316
1464296269.48,63.643
1464296269.49,63.23
1464296269.51,63.198
1464296269.52,63.23
1464296269.54,63.214
1464296269.56,63.316
1464296269.57,63.198
1464296269.59,63.247
1464296269.6,63.235
1464296269.62,63.267
1464296269.64,63.713
1464296269.65,63.697
1464296269.67,81.581
1464296269.69,63.198
1464296269.7,68.121
1464296269.72,63.214
1464296269.74,63.247
1464296269.75,63.214
